idx,review_id,title_clean,text_clean,rating,sentiment_class,date,year,month,quarter,period,trip_type,reviewer_type,reviewer_name,word_count,like_count,has_images,image_count,image_urls,has_sacred_content,has_ritual,has_actor,has_space,has_spiritual,has_festival,has_rule,language,is_translated,original_language,review_link
10,117358909,Don't miss this,This place is so interesting as it is where they do the cremations. Going with a guide is not a bad idea since they can explain what is going on. Plan on staying there a while so you can see the ceremonies (2 hours or so).,5,positive,2011-08-28,2011,8,3,early_period,solo,mixed,chinajoa,46,2,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r117358909-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
11,117822144,Spiritual bliss.....,"One should visit the Pashupatinath Temple while in Kathmandu. The temple is near the airport but once you take the lane towards the temple, its very very quiet. You can feel the calm and the energy surrounding the temple... Camera's, mobiles and leather products are not allowd inside the temple-so make sure you dont carry it-there is a private shop just outside the temple where you can rent a locker for the visit duration.... You can buy offerings (optional) for the temple at 300 Nepali Rupees. Many touts and guides are awaiting outside the temple-choose prudently, maybe a older person as guide is better option. The priests inside will expect a dakshina (optional) for their services-you may use your discretion. 50 to 100 nepali rupees is ok. More is upto you.... A good place where you can deposit the shoes in bags is also available within the temple premises just before you enter the main temple gate so do not deposit or leave your shoes way outside the temple. 527 Shivalingams are there which are supposedly to be in existance since 13 century-it is said all sins of last lives are forgiven if you walk through the lanes of the Shivalingams... Donations are an optional effect. You may donate at the donation boxes rather than handling out cash.....",4,positive,2011-09-08,2011,9,3,early_period,,likely_tourist,FaisalNM,218,2,False,0,,True,True,True,True,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r117822144-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
12,118073603,Nice Temple,"The temple is very nice, it has very significant value in Hindu religion, it is one of the great place to visit, only Hindu's are allowed to visit this temple, Non-Hindu Tourists can view it from outside only.",4,positive,2011-09-13,2011,9,3,early_period,couples,likely_tourist,VIKASCHAWLA1980,38,1,False,0,,True,False,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r118073603-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
13,118139805,"Fascinating, yet sombre, cultural highlight","We visited Pashupatinath (Temple of Living Beings) on our second first morning in Kathmandu. This was by far the highlight of our trip to Nepal. Though some people may find the thought of watching cremations disturbing, we found it to be culturally insightful. Non-Hindus are not permitted into the main temple, though there is plenty to see at spots that are accessible. We wandered around the complex for a good portion of the morning, before taking a seat in the shade across the river from the main funeral pyres. We watched from a distance as three bodies were washed, carried to the yak-butter covered stacked wood and then set alight. We then watched the process by which the wood, with the body, is burned down to ashes, following which the entire burning pile is pushed into the river. We then walked across the bridge to be closer to the funeral pyres, and watched as one deceased lady was laid to rest on the wood while her family removed her gold and other items. The smell from the burning bodies is not so bad, though you can hear the body sizzle as you would if you were at a BBQ. It is a good idea, especially if you are standing reasonably close to the funeral pyres, to carry a handkerchief to shield your nose and mouth. If there is a wind the ashes are blown in all directions and you certainly want to try and avoid getting ashes in your lungs. If you really want an insight into life in its purest form then you must visit Pashupatinath for a most fascinating cultural insight the entrance fee of Rs 500 (around USD 6.80) per person is well worth it. This is real life this is not a site staged for tourists it may not be suitable for children, unless they are mature enough to understand what is going on, and it certainly is not a place for people for whom the thought of death is disturbing. With that having been said, I repeat what I said in my opening line this was by far the highlight of our trip to Nepal, presenting an interesting yet somber insight into a culture that has existed for thousands of years.",5,positive,2011-09-15,2011,9,3,early_period,couples,likely_tourist,CHARLES ARNESTAD,376,2,True,9,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/a5/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/a6/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/a7/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/a8/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/a9/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/aa/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/ab/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/ac/pashupatinath-temple.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/1f/2d/ae/pashupatinath-temple.jpg,True,True,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r118139805-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
14,118328488,Excellent world heritage site,"We decided to get a guide for this area and we were not disappointed, he was a student but was full of the history and knowledge of this site, it cost us 500 rupees, the entrance fee was 500 rupees per person too. During our visit two cremations were taking place and it was fascinating to hear all about the cremations and the rituals of the family of the deceased. Watch out for the holy men... our guide said you can give however much you wanted to have your picture taken but then one of them said after we had had our pictures taken that it was 100 rupees per holy man and in our case that was 500 rupees as there were 5 of them... needless to say we took plenty more photos to get our monies worth! This is a must visit site when your in Kathmandu.",5,positive,2011-09-19,2011,9,3,early_period,couples,likely_tourist,topcat1972,149,2,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r118328488-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
15,119058454,House of gods a midst culture,"Pashupatinath is one of the most visited places in Kathmandu with over hundred thousand visitors showing their presence here. Pashupatinath is the holiest of all temples for Hindus. Different shades of lives can be observed here. With Rishis and Shadhus (hermits and worshippers) chanting prayers to playful monkeys in the vicinity. Pashupatinath is also considered to be the holiest place for cremation for Hindus. River Bagmati flows aside the temple. It is said that the river used to carry crystal clear water back in 1960s but sadly at present water is impure and unhealthy. It is also believed that water holds power of gods and washes away all sins and sorrows. Sounds, lights, people and exquisite experience of Nepali traditional culture, Hindu god worshiping and a warm feeling of being closer to gods is what Pashupatinath offers during a visit.",4,positive,2011-10-07,2011,10,4,early_period,solo,mixed,IseeMe,140,2,False,0,,True,True,True,True,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119058454-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
16,119482715,If in town you should visit this,Worth a visit. Get a guide (200 rupee) to tell you about the tempels and about the ceremonial burning. Entrance fee is 500 rupee.,4,positive,2011-10-19,2011,10,4,early_period,,likely_tourist,THEDANE72,24,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119482715-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
17,119504309,exotic but obnoxious,"Being one of Unesco's world heritage in Kahtmandu, Pashupatinah keeps being exotic all the way through although lots of guts are needed to walk by the river lingered in a dreadful stench. Better get a mask just in case. More than dreadful, i should say deadful, since they cremate the dead people on the benches of the river. All a show. At the entrance, dozens of people will try to sell you necklaces, bags, rings, etc and will follow you until they succeed. Bargaining is mandatory. Gurus, women dressed with saris, monkeys, dogs and a troop of tourists intertwine in this particular place.",4,positive,2011-10-19,2011,10,4,early_period,business,likely_tourist,carlosmatt,103,1,True,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/29/ea/a3/cremation-by-the-river.jpg,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119504309-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
18,119665754,A very spiritual place,I was allowed to go into the temple being a Hindu and it was an immensely spiritual experience. This was one of my highlights on my trip to Nepal,5,positive,2011-10-24,2011,10,4,early_period,,likely_tourist,Ladybeans,29,1,False,0,,True,True,False,False,True,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119665754-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
19,119725482,Amazing Hundu temple complex,There really is no place else on earth like this; a must visit site.,5,positive,2011-10-25,2011,10,4,early_period,friends,likely_tourist,Andy M,14,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119725482-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
20,119857515,Very atmospheric,"Full of character, strange for westerners to see bodies being publicly cremated - can feel very uncomfortable but intriguing. Colourful and great for photographs of the brightly dressed holy men and the dozens of monkeys.",5,positive,2011-10-29,2011,10,4,early_period,couples,likely_tourist,Brian C,35,1,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119857515-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
21,119883719,A must see place near Kathmandu,"It is situated at the Bagmati river, the second holiest river to Ganges. First of all it is a very important place both for hindu and budist people. Unfortunately not hindus are not allowed on the main temple, but you can enjoy the view from the rivrside to people on the other side, in the temple. And you can visit small Shiva temples on the open riverbank - each is housing a lingam, a fertility symbol. And you can see how people are embarked to their last journey in fire. The only problem there are very insistive street salesmen/women who cannot let go of you without making a purchase. It is advisable to stay firm and refuse to buy anything otherwise you will be surrounded by a crowd of them.",5,positive,2011-10-30,2011,10,4,early_period,friends,likely_tourist,Harri K,130,2,False,0,,True,False,False,True,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r119883719-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
22,120035031,Special place to visit for everyone,"Pashupatinath is an important Hindu temple in Kathmandu, dedicated to Shiva. You have to pay an entrance fee of 500 rupees per person, knowing you can't visit the temples (only allowed for Hindu-people). You'll certainly will be approached by young Hindu ""guides"" who will try to sell you a guided tour. We firstly didn't want this tour, but then decided to agree for a small fee because it was a young student who spoke perfect English and didn't push us to take the tour. And in fact, it was very good. We got a lot more information than mentioned in the travel guides and were informed about the cremation ceremonies who take place around the clock on the river banks. So certainly a place you should visit when you are in Kathmandu and yes, a guide (if you feel comfortable with the youngster who approaches you) is recommended.",4,positive,2011-11-01,2011,11,4,early_period,couples,likely_tourist,Brugst,148,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120035031-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
23,120060609,A must see,The best advice I can give about this most sacred of Hindu temples is to hire an official guide at the entrance to the site. You can hire one for around 200nrp pp and great value and very informative. BE WARNED. Cremations are carried out here constantly. Show respect and try to avoid taking pics of the funerals. Watch out for fake Sadhu's demanding money for pics.,5,positive,2011-11-02,2011,11,4,early_period,,likely_tourist,jim_ince,67,1,False,0,,True,True,True,False,True,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120060609-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
24,120070138,Eye opener,This was an interesting place to see. In the mornings the hindu's cremate their dead in the open for everyone to see. I found this interesting the process.,4,positive,2011-11-02,2011,11,4,early_period,friends,likely_tourist,teargas,28,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120070138-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
25,120164648,Limited access means limited experience.,"Since non-Hindus are excluded from much of the Temple, what one can get out of a visit is thus limited. I had a wonderful guide who helped me get the most out of my visit.",4,positive,2011-11-04,2011,11,4,early_period,solo,mixed,DeadGuyKai,35,0,False,0,,True,False,False,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120164648-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
26,120144171,Intersting,An interesting introduction to many local customs - bring a Guide if you can to help get the most out of your visit,4,positive,2011-11-04,2011,11,4,early_period,couples,likely_tourist,SpicyCar,23,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120144171-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
27,120149805,Not to be missed Temple,It is a vdery big temple with many small temples surrounding the Pashupathinath. Fantastic structure. You can seea gigantic Bull and a very big Kalabhyrava idol inside the premises. According to Hindu religion there is a belief that by having darshan of Pashupathinath all your sins will be wiped out and you can attain Mukthi. NOT TO BE MISSED TEMPLE,5,positive,2011-11-04,2011,11,4,early_period,business,likely_tourist,arunsharad,60,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120149805-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
28,120187259,great experience,worsipping lord pashupatinath was a life time experience.cleanliness is not maintained outside the temple .There no proper bathroom. govt of Nepal is not taking care of tourist as a result of which you have always bargain with cab driver,5,positive,2011-11-05,2011,11,4,early_period,couples,likely_tourist,nabinjit,39,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120187259-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
29,120324307,One of the oldest temples of Lord Shiva,"this is one of the oldest temples of Lord Shiva. It is said that the main deity has ""Char Dhaam"" and the head part is Pashupati nath. one of the most important temples for hindu's",5,positive,2011-11-08,2011,11,4,early_period,business,likely_tourist,Anurag,35,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120324307-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
30,120325750,What a Place,Excellent Temple and you feel so relaxed once you enter the shrine.,5,positive,2011-11-08,2011,11,4,early_period,friends,likely_tourist,Sanjay G,12,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120325750-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
31,120326401,Must visit,"Like the environment, very early form of Hinduism can be observed from here",4,positive,2011-11-08,2011,11,4,early_period,couples,likely_tourist,Traveler_avid,13,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120326401-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
32,120400491,One of the must see places in Kathmandu,"Get a guide and see this place. If you are unfamiliar with the Hindu religion it is a fascinating introduction. Unfortunately, non-Hindus cannot get into the temple, but there is a lot of other things to see. Be careful of the pseudo-Sadhus who will request money for taking their pictures.",5,positive,2011-11-09,2011,11,4,early_period,solo,mixed,Alpinist01,50,0,False,0,,True,False,True,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120400491-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
33,120400827,Facing mortality,It was an eyeopening cultural experience. Our guide did a good job of explaining the Hindu cremation rituals. It was a bit disconcerting to watch as families completed the various rituals.,4,positive,2011-11-09,2011,11,4,early_period,friends,likely_tourist,SCFoster,31,0,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120400827-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
34,120489395,Beware the tourist guide hustlers,"Interesting, but we got talking to a local who then demanded US$30 for his 45 minute talk. We had neither engaged him nor had we discussed a fee. Naturally, we were happy to make a contribution but he DEMANDED US$30. We gave him US$15. He wasn't happy!",4,positive,2011-11-12,2011,11,4,early_period,couples,likely_tourist,Mike W,47,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120489395-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
35,120524991,What a place!!!,"A must see, if you're visiting Kathmandu. You will never forget it, and your senses will be overwhelmed in every possible way. Appart from the burning cadavers on the river bank, and the temples, the colourful people, the school with its windows overlooking the burning of the dead (what a lesson in life for those children!), expect chaos, and being pestered by woud be guides. Shoo them off politely or less politely if the become really pestering. Enjoy!",4,positive,2011-11-13,2011,11,4,early_period,friends,likely_tourist,yakshaver,78,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120524991-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
36,120526887,Overwhelming sights and smells,"WAtching cremations was a surreal experience, but smelling it made the experience terribly intense. It was very interesting to learn about the rituals involved in Hindu funerals. There were a number of families carrying out funeral rites while we were there, which gave us an intimate perspective of how Hindu culture deals with the life cycle. We had an excellent guide.",5,positive,2011-11-13,2011,11,4,early_period,friends,likely_tourist,Pollyanna-Ist,61,2,False,0,,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120526887-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
37,120530041,Beautiful place,"Lovely place, must see. The architecture and heritage is elaborately displayed",5,positive,2011-11-13,2011,11,4,early_period,friends,likely_tourist,DVP,11,0,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r120530041-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
